trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
231,False,"{'a': 0.2689999999999998, 'e': 0.010051835744633576}",20,0,32.27326628244368,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2679999999999998, 'e': 0.009852796061187257}",25,0,36.08761713498999,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.2669999999999998, 'e': 0.009657697627537777}",20,0,27.45499091783109,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.2659999999999998, 'e': 0.009466462401710323}",25,13,19.203765337439485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2649999999999998, 'e': 0.009279013887064744}",25,6,28.36523260875571,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.2639999999999998, 'e': 0.009095277101695816}",25,18,13.098658598832731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2629999999999998, 'e': 0.008915178548439553}",20,8,19.303129613356255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.2619999999999998, 'e': 0.00873864618547329}",20,9,19.463303777574588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2609999999999998, 'e': 0.00856560939749806}",20,10,16.82233581028414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.2599999999999998, 'e': 0.00839599896749147}",30,24,10.344250767187695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.2589999999999998, 'e': 0.00822974704902003}",25,9,28.360767186729213,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.2579999999999998, 'e': 0.008066787139099614}",25,15,19.82998122544798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.2569999999999998, 'e': 0.007907054051593441}",25,13,20.992270429647863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.2559999999999998, 'e': 0.007750483891136692}",25,0,28.845102552740347,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.2549999999999998, 'e': 0.007597014027577567}",25,6,17.874578166120962,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.2539999999999998, 'e': 0.007446583070924338}",25,2,41.21046079249885,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.2529999999999998, 'e': 0.007299130846788583}",20,12,16.505721315567634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.2519999999999998, 'e': 0.007154598372314579}",25,8,30.66542470051761,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.2509999999999998, 'e': 0.007012927832585425}",20,10,17.91546149897211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.24999999999999978, 'e': 0.006874062557496248}",35,10,40.28711440705279,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.24899999999999978, 'e': 0.006737946999085467}",20,8,18.63902099929036,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.24799999999999978, 'e': 0.006604526709314805}",20,8,20.37259249679292,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.24699999999999978, 'e': 0.006473748318289405}",20,10,16.209008939808854,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.24599999999999977, 'e': 0.00634555951290911}",20,3,27.18024250635525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.24499999999999977, 'e': 0.006219909015942573}",20,14,13.34388459634853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
